OBJECTID,CSA2010,affordm10,affordm11,affordm12,affordm13,affordm14,affordm15,affordm16,affordm17,affordm18,affordm19,CSA2020,affordm20,Shape__Area,Shape__Length
30,Inner Harbor/Federal Hill,28.1668580176043,29.4346978557505,28.1668580176043,28.8393903868699,31.1187,28.4648606203377,25.1290194521636,23.8543371522094,20.5707491082045,20.44997991,Inner Harbor/Federal Hill,22.3880597,24995836.2615967,43415.0595478862
31,Lauraville,46.15625,44.3553362122147,46.15625,40.4233870967742,34.4741,32.7066335579993,33.6448598130841,27.895533686601,28.35190165194,26.77106637,Greater Lauraville,31.22238586,49665744.2354736,34419.676527973
32,Loch Raven,31.5729483282675,38.993288590604,31.5729483282675,40.9256559766764,41.3382,44.5043103448276,36.4267129228101,34.7844112769485,36.888331242158,30.3930131,Loch Raven,26.2181975,44147812.3265381,29314.3346718286
33,Madison/East End,43.2098765432099,35.6459330143541,43.2098765432099,31.5165876777251,42.2785,38.2871536523929,41.6267942583732,34.1463414634146,35.3488372093023,39.05325444,Madison/East End,32.69230769,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,33.1384015594542,31.9695528068506,33.1384015594542,28.7924655230407,31.397,29.3369975953281,25.5364052057686,24.3606998654105,25.1297016861219,20.70094989,Hampden/Remington,22.7444795,62441489.2398071,43152.625699222
35,Midtown,28.8253968253968,26.1004339739616,28.8253968253968,28.9650037230082,31.7675,31.9709355131698,23.3156028368794,20.3753351206434,18.1747269890795,15.73352232,Midtown,17.92717087,23823949.9294434,25020.0969698082
36,Midway/Coldstream,31.207065750736,35.1672060409924,31.207065750736,35.6060606060606,36.1507,43.1746031746032,44.3322109988777,38.2874015748031,42.534504391468,48.05520703,Midway/Coldstream,42.24924012,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,40.2439024390244,35.5899419729207,40.2439024390244,38.7540983606557,41.0803,35.5891719745223,33.6783439490446,35.1993865030674,31.2663755458515,31.58396947,Morrell Park/Violetville,35.16483516,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,33.8075313807531,29.8977853492334,33.8075313807531,26.6666666666667,28.8603,29.8394711992446,30.3370786516854,30.6818181818181,28.3333333333333,21.76165803,Mount Washington/Coldspring,22.70381837,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,28.5411515365595,29.9072091363312,28.5411515365595,32.1626617375231,29.6892,27.8694673668417,30.5201891596944,28.240058910162,26.5888978278358,25.84269663,North Baltimore/Guilford/Homeland,22.1169687,74923987.6937256,42904.2221443544
40,Northwood,35.742444152431,37.5438596491228,35.742444152431,36.2954630671166,40.2466,41.2966601178782,41.4719626168224,40.7003891050583,39.1524105754276,33.33333333,Northwood,32.37076649,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,51.9480519480519,49.1139240506329,51.9480519480519,45.2054794520548,34.6457,36.9294605809129,34.0836012861736,37.1165644171779,38.2271468144044,42.39766082,Oldtown/Middle East,42.82051282,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,47.7803738317757,48.6266531027467,47.7803738317757,50.767754318618,40.1544,32.4245374878286,38.2657869934025,34.9164467897977,36.0435875943,33.52697095,Greektown/Bayview,34.54215775,89894372.2113037,47825.8629266244
